专利名,申请号,申请日,摘要,申请人,申请人地址,发明人,IPC分类号,专利号,公开日,主分类号,转化收益（万元）
基于设备能力的多终端数据同步方法和系统,CN201210208518.5,2012-06-19,本发明公开了一种基于设备能力的多终端数据同步方法和系统的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,马久跃; 刘立坤; 严得辰; 李旭,G06F11/30,CN201210208518.5A,2015-01-21,G06F11,45
一种多设备间文件同步的重命名处理方法及系统,CN201310080244.0,2013-03-13,本发明涉及一种多设备间文件同步的重命名处理方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,刘立坤; 王一帆; 张立新,H04L29/08,CN201310080244.0A,2016-05-18,H04L29,0.0
一种文件同步中向量时钟的实现方法及系统,CN201310091759.0,2013-03-21,本发明公开了一种一种文件同步中向量时钟的实现方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,李旭; 刘立坤; 王一帆; 张立新,G06F9/50,CN201310091759.0A,2016-01-27,G06F9,0.0
一种虚拟机内存映射方法及系统,CN201310134852.5,2013-04-18,本发明公开了一种一种虚拟机内存映射方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,高云伟; 邬小龙; 孙毓忠; 詹剑锋; 张立新,G06F17/30,CN201310134852.5A,2016-03-16,G06F17,0.0
一种机群文件系统的内存元数据管理方法,CN200810222479.8,2008-09-17,本发明公开了一种一种机群文件系统的内存元数据管理方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,邢晶; 熊劲; 马捷; 孙凝晖,G06F8/65,CN200810222479.8A,2010-09-29,G06F8,55
一种发起方触发的远程内存访问操作虚实地址转换方法,200310117038.9,2003-12-04,本发明涉及一种发起方触发的远程内存访问操作虚实地址转换方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,"孟丹，霍志刚,马捷",H04L29/08,CN200310117038.9A,2006-10-18,H04L29,13.5
一种机群系统资源管理的分区租借方法,200310119409.7,2003-12-10,本发明公开了一种一种机群系统资源管理的分区租借方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,"涂碧波，邹铭,孟丹",H04L29/08,CN200310119409.7A,2007-01-24,H04L29,0.0
长距离视频图形阵列信号传输装置,200410042720.0,2004-05-21,本发明公开了一种长距离视频图形阵列信号传输装置的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,"张佩珩，刘涛,孙凝晖,吴冬冬,鲁常红,钱宇辉",G06N3/04,CN200410042720.0A,2006-09-13,G06N3,0.0
一种组织和访问分布式文件系统目录的方法,200410009926.3,2004-12-02,本发明公开了一种一种组织和访问分布式文件系统目录的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,"唐荣锋，孟丹,吴思宁",H04L29/08,CN200410009926.3A,2007-09-19,H04L29,0.0
基于智能网卡的计算机间用户级并行通信的方法,200310119408.2,2003-12-10,本发明涉及基于智能网卡的计算机间用户级并行通信领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,"马捷，孟丹,霍志刚,高帆",G06F9/50,CN200310119408.2A,2006-10-25,G06F9,0.0
一种人机交互设备,201110117664.2,2011-05-06,本发明公开了一种一种人机交互设备的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,张博宁；钱跃良；王向东,H04L29/08,CN201110117664.2A,2013-03-27,H04L29,3
一种网络安全态势感知方法及系统,CN201310541306.3,2013-11-05,本发明公开了一种一种网络安全态势感知方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,金舒原 | 张亚星 | 庞依,H04L29/08,CN201310541306.3A,2016-09-07,H04L29,8
一种网络安全态势预测方法及系统,CN201310544315.8,2013-11-05,本发明公开了一种一种网络安全态势预测方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,金舒原 | 庞依 | 张亚星,G06F16/27,CN201310544315.8A,2016-08-03,G06F16,8
一种面向SDN网络的控制层与数据层通信通道自配置方法及其系统,CN201510181751.2,2015-04-16,本发明涉及一种面向SDN网络的控制层与数据层通信通道自配置方法及其系统领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,于金萍 | 毕经平 | 胡成臣,G06F21/60,CN201510181751.2A,2017-11-21,G06F21,8
基于PMIPv6域内业务流切换的移动管理方法及系统,CN201310135154.7,2013-04-18,本发明涉及基于PMIPv6域内业务流切换的移动管理方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,王煜炜 | 秦晨翀 | 刘敏 | 周安福 | 虞航仲 | 宋云龙,G06F17/30,CN201310135154.7A,2016-07-20,G06F17,8
一种无反馈的优化码率的分布式视频编解码方法及其系统,CN201210376184.2,2012-09-29,本发明涉及一种无反馈的优化码率的分布式视频编解码方法及其系统领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,纪雯 | 陈益强,G06F11/30,CN201210376184.2A,2015-02-25,G06F11,12.5
一种无反馈的分布式视频编解码方法及其系统,CN201210376220.5,2012-09-29,本发明公开了一种一种无反馈的分布式视频编解码方法及其系统的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,纪雯 | 陈益强,G06N3/04,CN201210376220.5A,2015-04-22,G06N3,12.5
弹性光网络中的路由选择和频谱分配方法,CN201710554692.8,2017-07-10,本发明公开了一种弹性光网络中的路由选择和频谱分配方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,孙凝晖 | 许刚 | 元国军 | 谭光明 | 张佩珩 | 肖鹏 | 郭嘉梁| 张少龙|王展|臧大伟|邵恩,H04L29/08,CN201710554692.8A,未授权,H04L29,57
无线传感器网络的移动多播路由方法,CN201210037460.2,2012-02-17,本发明公开了一种无线传感器网络的移动多播路由方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,李培培 | 徐勇军,G06F3/06,CN201210037460.2A,2016-08-03,G06F3,8
一种基于多视觉信息的目标定位方法和系统,CN201010211419.3,2010-06-18,本发明公开了一种一种基于多视觉信息的目标定位方法和系统的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,罗海勇;张波;赵方;朱珍民;何哲;,H04L12/24,CN201010211419.3A,2014-03-26,H04L12,8
一种无线传感器网络数据收集和发布装置及方法,CN201210144379.4,2012-05-10,本发明涉及一种无线传感器网络数据收集和发布装置及方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,王子健 | 赵泽 | 侯陈达 | 石海龙 | 崔莉,H04L12/24,CN201210144379.4A,2016-03-30,H04L12,15
一种两阶段协作多播方法及系统,CN201410014273.1,2014-01-13,本发明公开了一种一种两阶段协作多播方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,周一青、刘航、田霖、焦惠芳、石晶林,G06F16/27,CN201410014273.1A,2017-05-03,G06F16,5
一种认知无线网络中的无线接入方法和系统,CN201310344221.6,2013-08-08,本发明公开了一种一种认知无线网络中的无线接入方法和系统的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,周一青、刘琳、田霖、石晶林,G06F16/27,CN201310344221.6A,2016-03-16,G06F16,5
一种频率资源分配方法,CN201310121491.0,2013-04-09,本发明公开了一种一种频率资源分配方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,周一青 ;  刘航 ;  田霖 ;  陈海华 ;  石晶林,G06F11/30,CN201310121491.0A,2015-06-24,G06F11,5
海量结构化数据复杂查询任务的分布式查询方法和系统,CN201110442091.0,2011-12-26,本发明涉及海量结构化数据复杂查询任务的分布式查询方法和系统领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,吴广君 | 李超 | 王树鹏 | 云晓春 | 王勇 | 李斌斌,G06F3/06,CN201110442091.0A,2014-06-25,G06F3,5
支持高速加载的海量结构化数据存储、查询方法和系统,CN201110441775.9,2011-12-26,本发明涉及支持高速加载的海量结构化数据存储、查询方法和系统领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,吴广君 | 李超 | 王树鹏 | 云晓春 | 王勇 | 李斌斌,H04L29/08,CN201110441775.9A,2014-06-25,H04L29,5
网络安全协同联动系统及方法 | Network security collaborative linkage system and method,CN201110315576.3,2011-10-18,本发明提供了一种网络安全协同联动系统及方法 | Network security collaborative linkage system and method的网络、安全技术方案。该方案通过创新的设计和方法，有效解决了现有技术中存在的问题，提高了系统的性能和可靠性，具有重要的实用价值。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,云晓春 | 张永铮 | 孙建亮 | 臧天宁,H04L12/24,CN201110315576.3A,2015-02-04,H04L12,5
一种面向分布式工作流的数据流调度方法和系统,CN201110253544.5,2011-08-30,本发明涉及一种面向分布式工作流的数据流调度方法和系统领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,王桂玲 | 张鹏 | 刘晨 | 徐学辉 | 季光 | 韩燕波,G06F8/65,CN201110253544.5A,2014-03-12,G06F8,5
一种面向分布式工作流的数据流初始调度方法和系统,CN201110252748.7,2011-08-30,本发明涉及一种面向分布式工作流的数据流初始调度方法和系统领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,王桂玲 | 张鹏 | 刘晨 | 徐学辉 | 季光 | 韩燕波,H04L29/08,CN201110252748.7A,2016-01-27,H04L29,5
用于海量数据管理的数据处理方法和系统,CN201110217035.7,2011-07-29,本发明公开了一种用于海量数据管理的数据处理方法和系统的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,吴广君 | 王树鹏 | 云晓春 | 张永铮 | 王明华,H04L12/24,CN201110217035.7A,2013-04-24,H04L12,5
一种数据集推荐方法和系统,CN201110164475.0,2011-06-17,本发明公开了一种一种数据集推荐方法和系统的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,王菁 | 李锋 | 赵卓峰 | 韩燕波 | 丁维龙 | 赵栓,G06F21/60,CN201110164475.0A,2013-01-30,G06F21,5
一种流程业务数据上传系统及上传方法,CN201110096606.6,2011-04-18,本发明公开了一种一种流程业务数据上传系统及上传方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,孙君意 | 李厚福 | 陈大伟 | 韩燕波,G06F16/27,CN201110096606.6A,2012-11-21,G06F16,5
一种安全事件源集成系统及其实现方法,CN200910237325.0,2009-11-10,本发明公开了一种一种安全事件源集成系统及其实现方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,殷丽华 | 云晓春 | 邓明远,H04L12/24,CN200910237325.0A,2012-09-05,H04L12,5
针对分布式文件系统的高可用消息传输框架和方法,CN200810247441.6,2008-12-31,本发明涉及针对分布式文件系统的高可用消息传输框架和方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,杨栋 | 唐荣锋 | 熊劲 | 孟丹,H04L12/24,CN200810247441.6A,2012-12-05,H04L12,5
